,Rule,Conf_yes,Numrowstrue,Outof
0,P101=two,0.08269470682587773,464,5611
1,P101=one,0.15578050079914757,1462,9385
2,P203=two,0.08488015858713281,471,5549
3,P203=one,0.15401714830104796,1455,9447
4,P205=two,0.08488015858713281,471,5549
5,P205=one,0.15401714830104796,1455,9447
6,P301=one,0.14231014677728143,1115,7835
7,P301=two,0.11325233905879067,811,7161
8,P401=two,0.12845138055222088,1926,14994
9,P401=one,0.0,0,0
10,P601=one,0.13043478260869565,1926,14766
11,P601=two,0.0,0,0
12,MV301=one,0.12858859660835892,1926,14978
13,MV301=zero,0.0,0,0
14,MV301=two,0.0,0,0
15,MV302=one,0.09565826330532212,683,7140
16,MV302=zero,0.0,0,0
17,MV302=two,0.15989194751736557,1243,7774
18,MV304=one,0.13182751540041068,1926,14610
19,MV304=zero,0.0,0,0
20,MV304=two,0.0,0,0
21,UV401=two,0.1305408702724685,1926,14753
22,UV401=one,0.0,0,0
23,MV101=one,0.13184600515463918,1637,12416
24,MV101=zero,0.07563025210084033,9,119
25,MV101=two,0.11377488825680618,280,2461
26,MV201=two,0.08395456159034434,473,5634
27,MV201=zero,0.1797752808988764,16,89
28,MV201=one,0.15496603041087026,1437,9273
29,MV303=one,0.1291490645745323,1926,14913
30,MV303=zero,0.0,0,0
31,MV303=two,0.0,0,0
32,FIT101=LT,0.11978729359082003,1712,14292
33,FIT101=GT,0.3039772727272727,214,704
34,LIT101=GT,0.14090277269734436,1926,13669
35,LIT101=LT,0.0,0,0
36,AIT202=GT,0.08577436194895592,1183,13792
37,AIT202=LT,0.617109634551495,743,1204
38,AIT203=LT,0.3578336557059961,740,2068
39,AIT203=GT,0.09173886138613861,1186,12928
40,FIT201=GT,0.07518796992481203,390,5187
41,FIT201=LT,0.15659088592109288,1536,9809
42,DPIT301=LT,0.16251169914064495,1910,11753
43,DPIT301=GT,0.004933703361085414,16,3243
44,FIT301=LT,0.13919202139192022,1926,13837
45,FIT301=GT,0.0,0,0
46,LIT301=LT,0.061610230837287866,766,12433
47,LIT301=GT,0.45259461568474446,1160,2563
48,AIT402=GT,0.0,0,0
49,AIT402=LT,0.3598654708520179,1926,5352
50,FIT401=LT,0.02599090318388564,160,6156
51,FIT401=GT,0.1997737556561086,1766,8840
52,LIT401=GT,0.10461053641159142,1527,14597
53,LIT401=LT,1.0,399,399
54,AIT501=LT,0.004406742315743087,40,9077
55,AIT501=GT,0.3186349045446866,1886,5919
56,AIT502=GT,0.012792662321988897,106,8286
57,AIT502=LT,0.27123695976154993,1820,6710
58,AIT503=GT,0.13589326947746516,1589,11692
59,AIT503=LT,0.10202845897668786,337,3303
60,AIT504=GT,0.21626856036152356,1675,7745
61,AIT504=LT,0.03461591504620053,251,7250
62,FIT501=LT,0.010868237880083039,89,8189
63,FIT501=GT,0.2698692522403408,1837,6807
64,FIT502=LT,0.020465003632840883,169,8258
65,FIT502=GT,0.26075986939744733,1757,6738
66,FIT503=GT,0.030945893343713508,318,10276
67,FIT503=LT,0.34067796610169493,1608,4720
68,FIT504=GT,0.03962927452860339,248,6258
69,FIT504=LT,0.19203479056992448,1678,8738
70,PIT501=GT,0.003992435385585207,38,9518
71,PIT501=LT,0.34465133260313985,1888,5478
72,PIT502=GT,0.059603238146072414,670,11241
73,PIT502=LT,0.3344873501997337,1256,3755
74,PIT503=GT,0.0028589580686149934,27,9444
75,PIT503=LT,0.34203890489913547,1899,5552
76,FIT601=GT,0.15269151138716355,1475,9660
77,FIT601=LT,0.08452023988005997,451,5336
78,AIT201=GT,0.03338997451146984,393,11769
79,AIT201=LT,0.47520148791072536,1533,3226
80,P101=two && P101=one,0.0,0,0
81,P101=two && P203=two,0.08383017163504969,464,5535
82,P101=two && P203=one,0.0,0,0
83,P101=two && P205=two,0.08383017163504969,464,5535
84,P101=two && P205=one,0.0,0,0
85,P101=two && P301=one,0.08842592592592592,191,2160
86,P101=two && P301=two,0.07910750507099391,273,3451
87,P101=two && P401=two,0.08269470682587773,464,5611
88,P101=two && P401=one,0.0,0,0
89,P101=two && P601=one,0.08622932540419996,464,5381
90,P101=two && P601=two,0.0,0,0
91,P101=two && MV301=one,0.08269470682587773,464,5611
92,P101=two && MV301=zero,0.0,0,0
93,P101=two && MV301=two,0.0,0,0
94,P101=two && MV302=one,0.09005186232909006,191,2121
95,P101=two && MV302=zero,0.0,0,0
96,P101=two && MV302=two,0.07890173410404624,273,3460
97,P101=two && MV304=one,0.08269470682587773,464,5611
98,P101=two && MV304=zero,0.0,0,0
99,P101=two && MV304=two,0.0,0,0
100,P101=two && UV401=two,0.08269470682587773,464,5611
101,P101=two && UV401=one,0.0,0,0
102,P101=two && MV101=one,0.0909499214013025,405,4453
103,P101=two && MV101=zero,0.0,0,0
104,P101=two && MV101=two,0.0544280442804428,59,1084
105,P101=two && MV201=two,0.08269470682587773,464,5611
106,P101=two && MV201=zero,0.0,0,0
107,P101=two && MV201=one,0.0,0,0
108,P101=two && MV303=one,0.08269470682587773,464,5611
109,P101=two && MV303=zero,0.0,0,0
110,P101=two && MV303=two,0.0,0,0
111,P101=two && FIT101=LT,0.07548219584569733,407,5392
112,P101=two && FIT101=GT,0.2602739726027397,57,219
113,P101=two && LIT101=GT,0.10728323699421966,464,4325
114,P101=two && LIT101=LT,0.0,0,0
115,P101=two && AIT202=GT,0.08300536672629696,464,5590
116,P101=two && AIT202=LT,0.0,0,0
117,P101=two && AIT203=LT,0.0,0,0
118,P101=two && AIT203=GT,0.09674728940783987,464,4796
119,P101=two && FIT201=GT,0.07530411276308167,390,5179
120,P101=two && FIT201=LT,0.1712962962962963,74,431
121,P101=two && DPIT301=LT,0.10760667903525047,464,4312
122,P101=two && DPIT301=GT,0.0,0,0
123,P101=two && FIT301=LT,0.08269470682587773,464,5611
124,P101=two && FIT301=GT,0.0,0,0
125,P101=two && LIT301=LT,0.07821552723059096,405,5178
126,P101=two && LIT301=GT,0.13625866050808313,59,433
127,P101=two && AIT402=GT,0.0,0,0
128,P101=two && AIT402=LT,0.21481481481481482,464,2160
129,P101=two && FIT401=LT,0.025039123630672927,48,1917
130,P101=two && FIT401=GT,0.11261505143475907,416,3694
131,P101=two && LIT401=GT,0.08269470682587773,464,5611
132,P101=two && LIT401=LT,0.0,0,0
133,P101=two && AIT501=LT,0.011737089201877934,40,3408
134,P101=two && AIT501=GT,0.19246482069904675,424,2203
135,P101=two && AIT502=GT,0.0,0,0
136,P101=two && AIT502=LT,0.16589202717196996,464,2797
137,P101=two && AIT503=GT,0.08826358826358827,367,4158
138,P101=two && AIT503=LT,0.06675843083275981,97,1452
139,P101=two && AIT504=GT,0.14218645204560698,424,2982
140,P101=two && AIT504=LT,0.015214910612400151,40,2629
141,P101=two && FIT501=LT,0.005724508050089445,16,2795
142,P101=two && FIT501=GT,0.1590909090909091,448,2816
143,P101=two && FIT502=LT,0.022222222222222223,65,2925
144,P101=two && FIT502=GT,0.14854802680565898,399,2686
145,P101=two && FIT503=GT,0.03573291601460615,137,3834
146,P101=two && FIT503=LT,0.18401800787844683,327,1777
147,P101=two && FIT504=GT,0.02693965517241379,50,1856
148,P101=two && FIT504=LT,0.11025299600532623,414,3755
149,P101=two && PIT501=GT,0.0005683432793407218,2,3519
150,P101=two && PIT501=LT,0.2208413001912046,462,2092
151,P101=two && PIT502=GT,0.04398689751988769,188,4274
152,P101=two && PIT502=LT,0.20643231114435304,276,1337
153,P101=two && PIT503=GT,0.005874125874125874,21,3575
154,P101=two && PIT503=LT,0.2175834970530452,443,2036
155,P101=two && FIT601=GT,0.08609693877551021,405,4704
156,P101=two && FIT601=LT,0.06504961411245866,59,906
157,P101=two && AIT201=GT,0.05758278844125712,273,4741
158,P101=two && AIT201=LT,0.21954022988505748,191,870
159,P101=one && P203=two,0.5,7,14
160,P101=one && P203=one,0.15526624693202434,1455,9371
161,P101=one && P205=two,0.5,7,14
162,P101=one && P205=one,0.15526624693202434,1455,9371
163,P101=one && P301=one,0.16281938325991188,924,5675
164,P101=one && P301=two,0.1450134770889488,538,3710
165,P101=one && P401=two,0.1558137056378557,1462,9383
166,P101=one && P401=one,0.0,0,0
167,P101=one && P601=one,0.15578050079914757,1462,9385
168,P101=one && P601=two,0.0,0,0
169,P101=one && MV301=one,0.1560798548094374,1462,9367
170,P101=one && MV301=zero,0.0,0,0
171,P101=one && MV301=two,0.0,0,0
172,P101=one && MV302=one,0.09802749551703527,492,5019
173,P101=one && MV302=zero,0.0,0,0
