,Unnamed: 0,Rule,Conf_yes,Numrowstrue,Outof,numconditions
2346,2346,AIT202=LT && LIT301=GT,1.0,482,482,2
2387,2387,AIT203=LT && LIT301=GT,1.0,479,479,2
2378,2378,AIT202=LT && AIT201=LT,0.9234629861982434,736,797,2
2419,2419,AIT203=LT && AIT201=LT,0.9231738035264484,733,794,2
8430,8430,P101=one && AIT202=LT && LIT301=GT,1.0,482,482,3
14206,14206,P203=one && AIT202=LT && LIT301=GT,1.0,482,482,3
19682,19682,P205=one && AIT202=LT && LIT301=GT,1.0,482,482,3
27351,27351,P401=two && AIT202=LT && LIT301=GT,1.0,482,482,3
32112,32112,P601=one && AIT202=LT && LIT301=GT,1.0,482,482,3
36601,36601,MV301=one && AIT202=LT && LIT301=GT,1.0,482,482,3
46686,46686,MV302=two && AIT202=LT && LIT301=GT,1.0,482,482,3
48516,48516,MV304=one && AIT202=LT && LIT301=GT,1.0,482,482,3
53650,53650,UV401=two && AIT202=LT && LIT301=GT,1.0,482,482,3
56786,56786,MV101=one && AIT202=LT && LIT301=GT,1.0,482,482,3
63681,63681,MV201=one && AIT202=LT && LIT301=GT,1.0,482,482,3
64906,64906,MV303=one && AIT202=LT && LIT301=GT,1.0,482,482,3
68291,68291,FIT101=LT && AIT202=LT && LIT301=GT,1.0,482,482,3
70316,70316,LIT101=GT && AIT202=LT && LIT301=GT,1.0,482,482,3
73184,73184,AIT202=LT && FIT201=LT && LIT301=GT,1.0,482,482,3
73221,73221,AIT202=LT && DPIT301=LT && LIT301=GT,1.0,482,482,3
73292,73292,AIT202=LT && FIT301=LT && LIT301=GT,1.0,482,482,3
73393,73393,AIT202=LT && LIT301=GT && AIT402=LT,1.0,482,482,3
73399,73399,AIT202=LT && LIT301=GT && AIT501=GT,1.0,482,482,3
73401,73401,AIT202=LT && LIT301=GT && AIT502=LT,1.0,482,482,3
73411,73411,AIT202=LT && LIT301=GT && FIT503=LT,1.0,482,482,3
73415,73415,AIT202=LT && LIT301=GT && PIT501=LT,1.0,482,482,3
73417,73417,AIT202=LT && LIT301=GT && PIT502=LT,1.0,482,482,3
73419,73419,AIT202=LT && LIT301=GT && PIT503=LT,1.0,482,482,3
73423,73423,AIT202=LT && LIT301=GT && AIT201=LT,1.0,482,482,3
73407,73407,AIT202=LT && LIT301=GT && FIT501=GT,1.0,480,480,3
8471,8471,P101=one && AIT203=LT && LIT301=GT,1.0,479,479,3
14247,14247,P203=one && AIT203=LT && LIT301=GT,1.0,479,479,3
19723,19723,P205=one && AIT203=LT && LIT301=GT,1.0,479,479,3
27392,27392,P401=two && AIT203=LT && LIT301=GT,1.0,479,479,3
32153,32153,P601=one && AIT203=LT && LIT301=GT,1.0,479,479,3
36642,36642,MV301=one && AIT203=LT && LIT301=GT,1.0,479,479,3
