,is_attack,P101,P203,P205,P301,P401,P601,MV301,MV302,MV304,UV401,MV101,MV201,MV303,FIT101,LIT101,AIT202,AIT203,FIT201,DPIT301,FIT301,LIT301,AIT402,FIT401,LIT401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,PIT501,PIT502,PIT503,FIT601,AIT201
1452,0,1,1,1,2,2,1,1,2,1,2,1,1,1,0.0,823.9154,9.124455000000001,241.579086,0.000512607,12.878545800000001,1.73449051,980.3576,31.120225899999998,0.7968499659999999,794.7193,7.620995,67.4442444,1016.2778900000001,25.41656,0.799282253,0.346099675,0.61184907,0.211895064,160.359528,3.04360366,114.89041100000001,0.000256303,143.29658500000002
11743,1,1,1,1,1,2,1,1,1,1,2,2,1,1,4.37882328,664.902466,9.263844,259.677,0.000256303,1.24527824,0.000512443,1112.57532,4.742374,0.8028683000000001,853.8580000000001,7.75621653,64.77826,1016.30994,25.2243023,0.804024637,0.365953624,0.6103126999999999,0.20997341,159.398224,2.899433,114.121376,0.000384455,128.26838700000002
5823,0,1,1,1,1,2,1,1,1,1,2,2,1,1,4.38618946,739.207947,9.32921,261.932831,0.000384455,1.2068633999999998,0.000512443,1009.03619,11.50987,0.7997951,932.0303,7.72577572,71.41759,1016.21381,24.5706234,0.8001795,0.31625464600000003,0.6103126999999999,0.211062342,160.728012,2.883414,115.11471599999999,0.00032037900000000003,143.80928
1351,0,1,1,1,1,2,1,1,1,1,2,1,1,1,0.0,823.2481,9.140477,242.1174,0.000512607,1.35091877,0.000640553,1009.51678,32.42758,0.79774636,800.2948,7.61843157,68.36709,1016.2778900000001,25.6088181,0.80184567,0.326886147,0.612105131,0.211831018,160.4877,3.05962253,114.97052,0.000256303,143.29658500000002
7592,0,2,2,2,2,2,1,1,2,1,2,1,2,1,0.0,706.8244,9.383683999999999,253.37092599999997,2.32787633,12.47519,1.71130252,826.6310000000001,9.612919999999999,0.8022280340000001,928.4542,7.73314571,69.52064,1016.2778900000001,24.724429999999998,0.8023584,0.325733334,0.6108248000000001,0.212151289,160.327484,2.867395,114.8103,0.000256303,143.64906299999998
4900,0,2,2,2,2,2,1,1,2,1,2,1,2,1,0.0,722.3292,9.416048,248.32093799999998,2.33325863,12.6256485,1.71706748,816.8178,13.740066500000001,0.8022280340000001,924.4168,7.70879269,70.1615,1016.2778900000001,24.5321712,0.7997949000000001,0.337517619,0.6103126999999999,0.20984529,160.920273,2.94748974,115.146759,0.00032037900000000003,143.937454
10560,0,2,2,2,2,2,2,1,2,1,2,1,2,1,0.0,631.9302,9.375032000000001,263.368378,2.32467246,12.4943981,1.7165549999999998,839.0477,5.99846172,0.79966706,971.3279,7.74884653,67.95693,1016.2778900000001,24.9166889,0.80184567,0.356731147,0.610568762,0.210101515,159.6065,2.883414,114.201485,0.00032037900000000003,136.952057
11943,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0.0,818.5378,9.233723,251.44834900000004,0.000384455,1.24527824,0.000512443,1112.6554,4.486029,0.8022280340000001,824.9808,7.755255,64.1374,1016.2778900000001,25.1089458,0.8022302,0.356474966,0.608264267,0.212087229,159.109848,2.899433,113.88105800000001,0.00032037900000000003,128.332474
5634,0,1,1,1,1,2,1,1,1,1,2,2,0,1,4.37946367,585.9259,9.40996,271.67392,1.2966392,1.2068633999999998,0.000512443,1002.1469099999999,11.791848199999999,0.7964658,958.062,7.721610000000001,71.0587,1016.21381,24.5321712,0.80184567,0.316382736,0.610568762,0.21202318399999998,160.695969,2.867395,115.082672,0.00032037900000000003,143.64906299999998
5861,0,1,1,1,1,2,1,1,1,1,2,2,1,1,4.38490868,772.847534,9.307741,259.88208,0.000384455,1.2068633999999998,0.000512443,1009.5568800000001,11.253524800000001,0.8026121999999999,926.954651,7.71680355,71.39195,1016.21381,24.609073600000002,0.7991541,0.30639171600000004,0.609928668,0.211895064,160.439636,2.883414,114.906433,0.00032037900000000003,143.80928
14359,0,2,2,2,2,2,1,1,2,1,2,1,2,1,0.0,777.8719,9.305499000000001,226.967438,2.33389926,12.222292900000001,1.7177080000000002,802.678833,3.92207122,0.8082464,855.6652,7.75237131,62.59933470000001,1016.21381,24.9935913,0.8073570999999999,0.36672216700000004,0.6067279000000001,0.20984529,158.54908799999998,2.49895883,113.51255800000001,0.0,131.697
11268,0,2,2,2,1,2,1,1,1,1,2,1,2,1,0.0,535.8394,9.164188000000001,255.908737,2.319162,1.11402774,0.000512443,1014.76385,4.742374,0.7999232,924.878235,7.751410000000001,66.08561999999999,1016.2778900000001,25.18585,0.8024865390000001,0.37376713799999994,0.6103126999999999,0.20978124399999998,159.44628899999998,2.899433,114.121376,0.00032037900000000003,116.4445
14,0,2,2,2,1,2,1,1,1,1,2,1,2,1,0.0,723.5853,9.288196000000001,200.871567,2.3372314,1.19085729,0.000512443,739.3537,87.10587,0.783660948,999.4745,7.491541000000001,146.295822,1016.2778900000001,43.75801,0.7839016,0.303445637,0.6236276999999999,0.213048071,167.425018,2.96350884,119.921173,0.00032037900000000003,142.527557
11158,0,1,1,1,1,2,1,1,1,1,2,1,1,1,0.0,548.2825320000001,9.143682,261.855927,0.000256303,1.10442412,0.000512443,1009.2764900000001,5.28069735,0.8015878000000001,940.8741460000001,7.74820566,66.47014,1016.2778900000001,25.1089458,0.804024637,0.3653132,0.608264267,0.20990935,159.44628899999998,2.94748974,114.153419,0.00032037900000000003,116.476547
9743,0,1,1,1,2,2,1,1,2,1,2,1,1,1,0.0,820.775146,9.041464,240.6306,0.000384455,12.5840321,1.72641957,897.4061,6.177903,0.7985146,836.708557,7.744681,72.23788449999999,1016.21381,24.7628822,0.799666762,0.366850257,0.6108248000000001,0.211895064,160.16726699999998,2.867395,114.68213700000001,0.000256303,144.03358500000002
3660,0,1,1,1,1,2,1,1,1,1,2,1,1,1,0.0,821.0107,9.259037,245.680588,0.000384455,1.16524744,0.000512443,1007.87463,16.0471668,0.7987707,859.779541,7.699821000000001,69.59754000000001,1016.2778900000001,24.5706234,0.7995386,0.356987327,0.610568762,0.210870177,160.56781,2.96350884,114.9545,0.000256303,144.418091
7402,0,2,2,2,2,2,1,1,2,1,2,1,2,1,0.0,795.4179,9.375994,236.5291,2.33556533,12.4623852,1.71463335,801.5173,9.997437,0.7987707,897.3468630000001,7.72865963,69.64881,1016.2778900000001,24.6475258,0.8027429,0.3065198,0.610568762,0.2112545,160.359528,2.867395,114.79428100000001,0.000256303,143.937454
9754,0,1,1,1,2,2,1,1,2,1,2,1,1,1,0.0,820.4219,9.03825951,240.502441,0.000384455,12.5232086,1.7236011000000002,894.32196,6.382979,0.79966706,837.5160000000001,7.74436045,71.95591,1016.21381,24.7628822,0.8012048,0.36569744299999996,0.6091605,0.212087229,160.00705,2.883414,114.521919,0.000256303,144.03358500000002
2603,0,2,2,2,2,2,1,1,2,1,2,1,2,1,0.0,540.942261,9.462831,257.831329,2.31929016,12.6640625,1.71514583,870.53,20.5331974,0.7978744000000001,991.6304,7.67226362,68.2389145,1016.2778900000001,24.8013325,0.7995386,0.356731147,0.61184907,0.2117029,160.77607700000002,3.01156569,115.050629,0.00032037900000000003,144.097672
2046,0,2,2,2,2,2,1,1,2,1,2,1,2,1,0.0,797.4590450000001,9.462831,226.6342,2.33992243,12.7665024,1.72142327,801.7976,24.6603432,0.7978744000000001,897.1546,7.656563,65.75237,1016.2778900000001,24.9935913,0.799666762,0.34584349999999997,0.612105131,0.211895064,160.535767,3.02758455,114.9545,0.00032037900000000003,144.514221
3089,0,1,1,1,1,2,1,1,1,1,2,2,1,1,4.3740190000000005,703.6057,9.383683999999999,259.984619,0.000384455,1.13323522,0.000512443,1008.07489,17.84158,0.7999232,943.2966,7.683478999999999,69.85388,1016.2778900000001,24.609073600000002,0.7995386,0.36697834700000004,0.611721039,0.20990935,160.840164,2.97952771,115.082672,0.000256303,144.1938
1569,0,1,1,1,2,2,1,1,2,1,2,1,1,1,0.0,824.229431,9.0828,241.2971,0.000512607,12.7793074,1.72513843,939.1823,29.530890000000003,0.79774636,815.2525,7.633171000000001,66.3932343,1016.2778900000001,25.3012047,0.80158937,0.315998465,0.6123611999999999,0.211895064,160.47168,2.96350884,114.97052,0.000256303,143.2325
13382,1,1,1,1,1,2,1,1,2,1,2,1,1,1,0.0,821.0107,8.8601,234.247635,0.000512607,1.49817526,0.000512443,1025.8187300000002,3.92207122,0.8022280340000001,775.7242,7.75557566,62.3173561,1016.2778900000001,24.9166889,0.8021020000000001,0.383245826,0.608264267,0.210229635,158.613174,2.49895883,113.480515,0.00032037900000000003,128.49269099999998
1055,0,1,1,1,1,2,1,1,1,1,2,1,1,1,0.0,823.1696,9.200077,244.809021,0.000512607,1.35412,0.000640553,1009.9574,37.862087200000005,0.8013316999999999,846.0907589999999,7.601769,70.67419,1016.2778900000001,25.916431399999997,0.8010766509999999,0.34648394600000004,0.614025533,0.211766958,160.6479,3.04360366,115.21084599999999,0.000256303,143.200455
10276,1,2,2,2,2,2,1,1,2,1,2,1,2,1,0.0,729.237732,9.406435,248.9618,2.32941413,12.52641,1.718733,803.880432,6.229172,0.8005634,924.801331,7.74307871,67.82876,1016.2778900000001,24.7628822,0.8023584,0.33713334799999994,0.609928668,0.20984529,159.766724,2.8513759999999997,114.3617,0.00032037900000000003,143.873367
1661,0,1,1,1,2,2,1,1,2,1,2,1,1,1,0.0,823.7976,9.074788999999999,240.75877400000002,0.000512607,12.7376909,1.730391,907.4997,28.55678,0.7991549,830.9408,7.63285065,66.2906952,1016.2778900000001,25.0320435,0.80158937,0.335980535,0.61184907,0.211895064,160.359528,3.02758455,114.922455,0.000256303,143.29658500000002
